# planets   transits   detectable
    23052        250           32
    23368        262           30
    23182        240           36
    22878        236           24
    22782        240           26
    23254        296           32
    23670        248           24
    22900        214           26
    23018        250           22
    22520        218           20
    22964        242           28
    23510        250           40
    23210        284           32
    22854        260           28
    23538        226           22
    23262        266           28
    23046        284           30
    23018        234           14
    23366        252           28
    23024        250           26
    23156        222           22
    23338        246           28
    22878        254           38
    22982        216           20
    23130        280           36
    23132        218           26
    22734        268           22
    23242        280           66
    23352        280           28
    23228        212           32
    22988        204           14
    23050        274           42
    23218        264           38
    22940        222           26
    23340        258           22
    22936        254           24
    23210        236           24
    23008        242           34
    22912        244           24
    23078        274           22
    22986        228           32
    23038        246           32
    22988        214           30
    22866        262           46
    23044        266           30
    23206        250           30
    22986        244           18
    22984        252           34
    23430        286           38
    22632        238           26
    23146        260           26
    23050        250           18
    22834        244           30
    22962        256           38
    23104        252           32
    23376        242           36
    23164        204           28
    23168        250           24
    23112        238           18
    22986        254           34
    22982        248           34
    22852        264           32
    22816        248           24
    22900        232           22
    23064        238           34
    23188        200           22
    23574        236           28
    23186        254           22
    22894        250           36
    23572        242           38
    23222        242           26
    22852        252           38
    23172        234           32
    23432        246           32
    22898        266           26
    23712        220           36
    23146        292           30
    23152        234           24
    23046        280           30
    23038        234           24
    23176        202           24
